啊安多哈尔,a'an'duo'ha'er
深绿要塞护腕,shen'lv'yao'sai'hu'wan
神秘的粘液,shen'mi'de'nian'ye
神明之拳,shen'ming'zhi'quan
审判者安达尔怒爪,shen'pan'zhe'an'da'er'nu'zhao
审判者安德拉金爆,shen'pan'zhe'an'de'la'jin'bao
审判者布雷斯,shen'pan'zhe'bu'lei'si
审判者布洛克希罗弗洛斯特纳戈,shen'pan'zhe'bu'luo'ke'xi'luo'fu'luo'si'te'na'ge
审判者德雷斯尼亚,shen'pan'zhe'de'lei'si'ni'ya
审判者加芬影驻,shen'pan'zhe'jia'fen'ying'zhu
审判者麦克斯韦弗斯莱特,shen'pan'zhe'mai'ke'si'wei'fu'si'lai'te
审判者尼姆兹贝恩迪泽尔亚,shen'pan'zhe'ni'mu'zi'bei'en'di'ze'er'ya
审判者诺达石墓,shen'pan'zhe'nuo'da'shi'mu
审判者尤拉鲁,shen'pan'zhe'you'la'lu
审判者约翰娜雷斯托,shen'pan'zhe'yue'han'na'lei'si'tuo
深入冲突,shen'ru'chong'tu
深入疯狂之口,shen'ru'feng'kuang'zhi'kou
神射手的腿甲,shen'she'shou'de'tui'jia
神射手歌勒丝,shen'she'shou'ge'le'si
神射手坦沃,shen'she'shou'tan'wo
神圣打击,shen'sheng'da'ji
神圣的体验,shen'sheng'de'ti'yan
神圣法阵,shen'sheng'fa'zhen
神圣愤怒,shen'sheng'fen'nu
神圣风暴,shen'sheng'feng'bao
神圣净化,shen'sheng'jing'hua
神圣屏障,shen'sheng'ping'zhang
神圣启发,shen'sheng'qi'fa
神圣新星,shen'sheng'xin'xing
神圣训谕,shen'sheng'xun'yu
神圣赞美诗,shen'sheng'zan'mei'shi
神圣震击,shen'sheng'zhen'ji
神圣制裁,shen'sheng'zhi'cai
神圣之锤,shen'sheng'zhi'chui
神圣之盾,shen'sheng'zhi'dun
神圣之火,shen'sheng'zhi'huo
神圣之灵,shen'sheng'zhi'ling
神圣之怒,shen'sheng'zhi'nu
神圣职责,shen'sheng'zhi'ze
渗透之影,shen'tou'zhi'ying
神性圣印,shen'xing'sheng'yin
深影腰带,shen'ying'yao'dai
神佑防卫,shen'you'fang'wei
神谕者的洗礼护符,shen'yu'zhe'de'xi'li'hu'fu
深渊巨刃,shen'yuan'ju'ren
深渊猎手披风,shen'yuan'lie'shou'pi'feng
生存本能,sheng'cun'ben'neng
圣殿祝福,sheng'dian'zhu'fu
圣盾术,sheng'dun'shu
圣光的庇护,sheng'guang'de'bi'hu
圣光的恩惠,sheng'guang'de'en'hui
圣光的复仇,sheng'guang'de'fu'chou
圣光的警觉,sheng'guang'de'jing'jue
圣光的谴责,sheng'guang'de'qian'ze
圣光的正义,sheng'guang'de'zheng'yi
圣光仆役胡尔斯托姆,sheng'guang'pu'yi'hu'er'si'tuo'mu
圣光术,sheng'guang'shu
圣光训谕,sheng'guang'xun'yu
升华,sheng'hua
圣火之炬,sheng'huo'zhi'ju
圣击术,sheng'ji'shu
圣洁护盾,sheng'jie'hu'dun
圣洁净化,sheng'jie'jing'hua
圣洁圣印,sheng'jie'sheng'yin
圣疗术,sheng'liao'shu
圣灵显现,sheng'ling'xian'xian
生命的循环,sheng'ming'de'xun'huan
生命分流,sheng'ming'fen'liu
生命虹吸,sheng'ming'hong'xi
生命花环,sheng'ming'hua'huan
生命激流,sheng'ming'ji'liu
声名鹊起,sheng'ming'que'qi
生命誓缚者颈饰,sheng'ming'shi'fu'zhe'jing'shi
生命循环,sheng'ming'xun'huan
生命印记,sheng'ming'yin'ji
生命涌动,sheng'ming'yong'dong
生命之树形态,sheng'ming'zhi'shu'xing'tai
圣骑士训练,sheng'qi'shi'xun'lian
圣卫,sheng'wei
食暗者,shi'an'zhe
尸爆,shi'bao
势不可挡的汉娜,shi'bu'ke'dang'de'han'na
侍从阿拉松,shi'cong'a'la'song
侍从艾赞,shi'cong'ai'zan
侍从法因,shi'cong'fa'yin
侍从徽记,shi'cong'hui'ji
侍从姬坦,shi'cong'ji'tan
侍从凯,shi'cong'kai
侍从寇布斯,shi'cong'kou'bu'si
侍从马库斯,shi'cong'ma'ku'si
侍从锡安,shi'cong'xi'an
侍从扎兰,shi'cong'zha'lan
侍从之刃,shi'cong'zhi'ren
史蒂芬哈斯洛,shi'di'fen'ha'si'luo
石肤图腾,shi'fu'tu'teng
石缚者莫阿拉,shi'fu'zhe'mo'a'la
石工兄弟会之戒,shi'gong'xiong'di'hui'zhi'jie
石化武器,shi'hua'wu'qi
噬魂者莫拉格,shi'hun'zhe'mo'la'ge
噬肌毒药,shi'ji'du'yao
石脊石像鬼,shi'ji'shi'xiang'gui
时间切割者,shi'jian'qie'ge'zhe
时间问题,shi'jian'wen'ti
世界击碎者,shi'jie'ji'sui'zhe
视界术,shi'jie'shu
世界之树的嫩枝,shi'jie'zhi'shu'de'nen'zhi
狮鹫管理员格莱斯瑟登,shi'jiu'guan'li'yuan'ge'lai'si'se'deng
弑君,shi'jun
蚀刻龙骨束带,shi'ke'long'gu'shu'dai
失控,shi'kong
失控的帕纳斯,shi'kong'de'pa'na'si
试炼祝福,shi'lian'zhu'fu
食獠卡塔利,shi'liao'ka'ta'li
噬灵卡尔,shi'ling'ka'er
噬灵瘟疫,shi'ling'wen'yi
石颅头盔,shi'lu'tou'kui
失落秘密肩甲,shi'luo'mi'mi'jian'jia
失落群岛,shi'luo'qun'dao
失落尊严手套,shi'luo'zun'yan'shou'tao
石怒佐姆,shi'nu'zuo'mu
食人魔法师魔棒,shi'ren'mo'fa'shi'mo'bang
侍僧迪米娅,shi'seng'di'mi'ya
侍僧凯米丝塔,shi'seng'kai'mi'si'ta
尸煞,shi'sha
食尸,shi'shi
食尸鬼,shi'shi'gui
尸体贩子奥古斯,shi'ti'fan'zi'ao'gu'si
施痛者艾克谢拉,shi'tong'zhe'ai'ke'xie'la
石头守卫拉山,shi'tou'shou'wei'la'shan
石像形态,shi'xiang'xing'tai
狮心头盔,shi'xin'tou'kui
失心者沃娜,shi'xin'zhe'wo'na
嗜血胸针,shi'xue'xiong'zhen
嗜血雅子敏,shi'xue'ya'zi'min
石牙雷沃泽,shi'ya'lei'wo'ze
实验场,shi'yan'chang
誓言守候者,shi'yan'shou'hou'zhe
使者萨曼莎迪隆,shi'zhe'sa'man'sha'di'long
石爪图腾,shi'zhua'tu'teng
十字军打击,shi'zi'jun'da'ji
十字军法瑞萨,shi'zi'jun'fa'rui'sa
十字军骑士迈克尔古特泰尔德,shi'zi'jun'qi'shi'mai'ke'er'gu'te'tai'er'de
十字军扫击,shi'zi'jun'sao'ji
十字军圣印,shi'zi'jun'sheng'yin
十字路口的卡格拉,shi'zi'lu'kou'de'ka'ge'la
十字路口之旅,shi'zi'lu'kou'zhi'lv
失踪的使节,shi'zong'de'shi'jie
守暗人斯卡拉,shou'an'ren'si'ka'la
守备官奥鲁门,shou'bei'guan'ao'lu'men
守备官贝利安,shou'bei'guan'bei'li'an
守备官的烙印,shou'bei'guan'de'lao'yin
守备官法拉安,shou'bei'guan'fa'la'an
守备官加弗洛,shou'bei'guan'jia'fu'luo
守备官卡德尔,shou'bei'guan'ka'de'er
守备官肯佐,shou'bei'guan'ken'zuo
守备官洛伦,shou'bei'guan'luo'lun
守备官梅琳娜,shou'bei'guan'mei'lin'na
守备官瓦莎,shou'bei'guan'wa'sha
守备官纹章盾,shou'bei'guan'wen'zhang'dun
守备官扎瑞斯,shou'bei'guan'zha'rui'si
兽兵巴兰卡,shou'bing'ba'lan'ka
手刀罗顿,shou'dao'luo'dun
守护者雷姆洛斯,shou'hu'zhe'lei'mu'luo'si
收集情报,shou'ji'qing'bao
兽栏管理员,shou'lan'guan'li'yuan
狩猎大师,shou'lie'da'shi
狩猎的战利品,shou'lie'de'zhan'li'pin
首领库玛,shou'ling'ku'ma
守墓人艾萨拉,shou'mu'ren'ai'sa'la
兽群领袖,shou'qun'ling'xiu
守望者布瓦伊,shou'wang'zhe'bu'wa'yi
守望者拉维拉,shou'wang'zhe'la'wei'la
守望者尼约勒,shou'wang'zhe'ni'yue'le
守卫末路,shou'wei'mo'lu
首席那瑟斯,shou'xi'na'se'si
首席神射手麦基,shou'xi'shen'she'shou'mai'ji
受咒者莱昂纳,shou'zhou'zhe'lai'ang'na
树歌,shu'ge
树林守卫克莎,shu'lin'shou'wei'ke'sha
树林守卫托尔芬,shu'lin'shou'wei'tuo'er'fen
树皮术,shu'pi'shu
术士训练,shu'shi'xun'lian
树妖的护腕,shu'yao'de'hu'wan
摔拌,shuai'ban
栓塞,shuan'se
双持,shuang'chi
霜火之箭,shuang'huo'zhi'jian
双界法杖,shuang'jie'fa'zhang
霜狼勋章,shuang'lang'xun'zhang
双双,shuang'shuang
双塔废墟,shuang'ta'fei'xu
霜纹布绷带,shuang'wen'bu'beng'dai
霜至,shuang'zhi
水晶火焰法杖,shui'jing'huo'yan'fa'zhang
水晶蜘蛛之牙,shui'jing'zhi'zhu'zhi'ya
水上行走,shui'shang'xing'zou
水下宝藏,shui'xia'bao'zang
水形态,shui'xing'tai
水玉猫头鹰,shui'yu'mao'tou'ying
水元素,shui'yuan'su
顺劈斩,shun'pi'zhan
死不足惜,si'bu'zu'xi
斯蒂尔林德,si'di'er'lin'de
斯戈姆拜格,si'ge'mu'bai'ge
死寒披风,si'han'pi'feng
死嚎卡卡斯,si'hao'ka'ka'si
思考清晰,si'kao'qing'xi
斯克德兹勒,si'ke'de'zi'le
死灵胸甲,si'ling'xiong'jia
死灵胸铠,si'ling'xiong'kai
死灵印记,si'ling'yin'ji
死灵之触,si'ling'zhi'chu
撕碎,si'sui
斯塔丽,si'ta'li
死亡标记,si'wang'biao'ji
死亡缠绕,si'wang'chan'rao
死亡的凝视,si'wang'de'ning'shi
死亡的阴影,si'wang'de'yin'ying
死亡凋零,si'wang'diao'ling
死亡领主琼斯,si'wang'ling'zhu'qiong'si
死亡骑士的兄弟情谊,si'wang'qi'shi'de'xiong'di'qing'yi
死亡契约,si'wang'qi'yue
死亡熔炉,si'wang'rong'lu
死亡使者,si'wang'shi'zhe
死亡陷阱,si'wang'xian'jing
死亡先知组拉吉,si'wang'xian'zhi'zu'la'ji
死亡一击,si'wang'yi'ji
死亡战马,si'wang'zhan'ma
死亡掌控琼斯,si'wang'zhang'kong'qiong'si
死亡震击,si'wang'zhen'ji
死亡之门,si'wang'zhi'men
死亡之握,si'wang'zhi'wo
死亡之愿,si'wang'zhi'yuan
死亡重量,si'wang'zhong'liang
死语者弗兰恩,si'yu'zhe'fu'lan'en
搜魂者赫乌洛,sou'hun'zhe'he'wu'luo
苏打水,su'da'shui
速击垂斯坦,su'ji'chui'si'tan
苏蕾电心,su'lei'dian'xin
速射强弓,su'she'qiang'gong
苏沃克冰眼,su'wo'ke'bing'yan
速效药膏,su'xiao'yao'gao
塑血者之槌,su'xue'zhe'zhi'chui
酸蚀手麦克古莉蔻缇,suan'shi'shou'mai'ke'gu'li'kou'ti
碎肠,sui'chang
碎冲,sui'chong
碎击格瑞特,sui'ji'ge'rui'te
碎脸,sui'lian
碎料,sui'liao
碎裂手斯皮高戈普,sui'lie'shou'si'pi'gao'ge'pu
碎裂图腾,sui'lie'tu'teng
碎灵,sui'ling
碎颅者萨维提尔,sui'lu'zhe'sa'wei'ti'er
碎忍者吉高,sui'ren'zhe'ji'gao
碎刃者泰伦尼斯,sui'ren'zhe'tai'lun'ni'si
虽远必诛,sui'yuan'bi'zhu
索岚荒野咆哮,suo'lan'huang'ye'pao'xiao
索兰尼亚的物品,suo'lan'ni'ya'de'wu'pin
索颅者斯库隆克,suo'lu'zhe'si'ku'long'ke
锁脑咒,suo'nao'zhou
踏步者玛克塔,ta'bu'zhe'ma'ke'ta
塔伦米尔,ta'lun'mi'er
塔尼毕克斯提克斯,ta'ni'bi'ke'si'ti'ke'si
塔斯汀苟,ta'si'ting'gou
塔薇拉林泉,ta'wei'la'lin'quan
塔泽莉,ta'ze'li
塔祖,ta'zu
泰尔金,tai'er'jin
台风术,tai'feng'shu
泰勒日涌,tai'le'ri'yong
泰罗克暗影法杖,tai'luo'ke'an'ying'fa'zhang
泰桑德瑞暮击,tai'sang'de'rui'mu'ji
泰坦铸造残酷符文,tai'tan'zhu'zao'can'ku'fu'wen
太阳之井卫兵凯丽,tai'yang'zhi'jing'wei'bing'kai'li
瘫痪,tan'huan
坦克式护目镜,tan'ke'shi'hu'mu'jing
摊牌,tan'pai
探水棒,tan'shui'bang
烫伤,tang'shang
掏包,tao'bao
逃离兜帽,tao'li'dou'mao
逃难者的困境,tao'nan'zhe'de'kun'jing
逃脱大师,tao'tuo'da'shi
特尔兰德,te'er'lan'de
特拉克赛尔安伯克里克,te'la'ke'sai'er'an'bo'ke'li'ke
特蕾莎沃艾德哈特,te'lei'sha'wo'ai'de'ha'te
特里娜卡琳,te'li'na'ka'lin
特斯拉,te'si'la
特维布尔,te'wei'bu'er
特效治疗药水,te'xiao'zhi'liao'yao'shui
提布的炽炎长剑,ti'bu'de'chi'yan'chang'jian
剃刀,ti'dao
剔骨,ti'gu
提里奥的尝试,ti'li'ao'de'chang'shi
提丽费德莱特,ti'li'fei'de'lai'te
提米的手,ti'mi'de'shou
提姆,ti'mu
提瑞斯法支配魔杖,ti'rui'si'fa'zhi'pei'mo'zhang
天赐的请求,tian'ci'de'qing'qiu
填弹搭箭,tian'dan'da'jian
天火鹰弓,tian'huo'ying'gong
天阶教团,tian'jie'jiao'tuan
天界碎片,tian'jie'sui'pian
天空女王塔兰娜,tian'kong'nv'wang'ta'lan'na
天空之翼,tian'kong'zhi'yi
天怒哈鲁卡,tian'nu'ha'lu'ka
天怒拉克,tian'nu'la'ke
天怒图腾,tian'nu'tu'teng
天射欧娜,tian'she'ou'na
天堂的祝福,tian'tang'de'zhu'fu
天堂之焰,tian'tang'zhi'yan
天灾的战术,tian'zai'de'zhan'shu
天灾喷发者,tian'zai'pen'fa'zhe
天灾勇士的巨盔,tian'zai'yong'shi'de'ju'kui
天真的罗莉,tian'zhen'de'luo'li
天之女儿温达,tian'zhi'nv'er'wen'da
挑拨,tiao'bo
调和者伊克希亚,tiao'he'zhe'yi'ke'xi'ya
调酒大师吉斯柏克斯,tiao'jiu'da'shi'ji'si'bai'ke'si
跳舞,tiao'wu
挑衅,tiao'xin
挑战,tiao'zhan
挑战黑龙军团,tiao'zhan'hei'long'jun'tuan
挑战怒吼,tiao'zhan'nu'hou
铁淀马克希姆,tie'dian'ma'ke'xi'mu
铁骨切巴,tie'gu'qie'ba
铁护,tie'hu
铁匠拓甘,tie'jiang'tuo'gan
铁炉堡,tie'lu'bao
铁炉堡国王麦格尼,tie'lu'bao'guo'wang'mai'ge'ni
铁炉堡守卫,tie'lu'bao'shou'wei
铁皮人约瑟夫卡罗尔,tie'pi'ren'yue'se'fu'ka'luo'er
铁器专精,tie'qi'zhuan'jing
挺拔肩甲,ting'ba'jian'jia
通缉霍格,tong'ji'huo'ge
痛击之刃,tong'ji'zhi'ren
痛锯,tong'ju
痛苦领主巴纳斯鲁姆,tong'ku'ling'zhu'ba'na'si'lu'mu
痛苦女王,tong'ku'nv'wang
痛苦无常,tong'ku'wu'chang
痛苦压制,tong'ku'ya'zhi
痛苦诅咒,tong'ku'zu'zhou
通灵能量精粹,tong'ling'neng'liang'jing'cui
同情,tong'qing
统御法杖,tong'yu'fa'zhang
统御之眼,tong'yu'zhi'yan
同族祝福,tong'zu'zhu'fu
头部创伤,tou'bu'chuang'shang
偷盗装备,tou'dao'zhuang'bei
头脑冻结,tou'nao'dong'jie
偷窃,tou'qie
屠夫之子安迪斯,tu'fu'zhi'zi'an'di'si
突击,tu'ji
图加的任务,tu'jia'de'ren'wu
图拉扬之怒,tu'la'yang'zhi'nu
图雷恩魂契,tu'lei'en'hun'qi
图里愚智,tu'li'yu'zhi
土灵冲击,tu'ling'chong'ji
土灵风暴,tu'ling'feng'bao
土灵之拥,tu'ling'zhi'yong
屠戮,tu'lu
屠戮之耳语利刃,tu'lu'zhi'er'yu'li'ren
突然捕获,tu'ran'bu'huo
突然逆转,tu'ran'ni'zhuan
屠杀,tu'sha
图腾掌握,tu'teng'zhang'wo
图腾召唤,tu'teng'zhao'huan
突袭,tu'xi
土元素图腾,tu'yuan'su'tu'teng
屠宰,tu'zai
团结怒吼,tuan'jie'nu'hou
褪色的迅影外套,tui'se'de'xun'ying'wai'tao
退缩,tui'suo
吞咽灵魂,tun'yan'ling'hun
托格暗火,tuo'ge'an'huo
托格拜恩冰霜之王的战斧,tuo'ge'bai'en'bing'shuang'zhi'wang'de'zhan'fu
拓荒者凡萨尔,tuo'huang'zhe'fan'sa'er
托雷克的突袭,tuo'lei'ke'de'tu'xi
托瑞许重蹄,tuo'rui'xu'zhong'ti
唾液腐蚀之刺,tuo'ye'fu'shi'zhi'ci
托兹云,tuo'zi'yun
瓦克兰,wa'ke'lan
瓦莱丽沃菲尔德,wa'lai'li'wo'fei'er'de
瓦兰达斯银叶,wa'lan'da'si'yin'ye
瓦兰奈尔远古王者之锤,wa'lan'nai'er'yuan'gu'wang'zhe'zhi'chui
瓦兰欧斯,wa'lan'ou'si
瓦里安乌瑞恩国王,wa'li'an'wu'rui'en'guo'wang
瓦莉拉萨古纳尔,wa'li'la'sa'gu'na'er
瓦里玛萨斯,wa'li'ma'sa'si
瓦妮莎公平坟墓,wa'ni'sha'gong'ping'fen'mu
瓦丝琪的命令,wa'si'qi'de'ming'ling
瓦丝琪女士,wa'si'qi'nv'shi
瓦兹克斯布隆克托普,wa'zi'ke'si'bu'long'ke'tuo'pu
瓦兹鲁克,wa'zi'lu'ke
外交,wai'jiao
外域这个烂地方,wai'yu'zhe'ge'lan'di'fang
万恶之源,wan'e'zhi'yuan
玩具骨头,wan'ju'gu'tou
完美进攻,wan'mei'jin'gong
完美烈酒,wan'mei'lie'jiu
完人萨莉娜,wan'ren'sa'li'na
玩世不恭的德拉米拉,wan'shi'bu'gong'de'de'la'mi'la
万岁,wan'sui
亡灵的腐液,wang'ling'de'fu'ye
亡灵哨兵莉安娜,wang'ling'shao'bing'li'an'na
亡灵之拳克罗格,wang'ling'zhi'quan'ke'luo'ge
王牌猎人,wang'pai'lie'ren
往日的礼物,wang'ri'de'li'wu
往日的面孔,wang'ri'de'mian'kong
往日的余晖,wang'ri'de'yu'hui
亡者大军,wang'zhe'da'jun
亡者复生,wang'zhe'fu'sheng
亡者之魂,wang'zhe'zhi'hun
亡者之墙,wang'zhe'zhi'qiang
王者祝福,wang'zhe'zhu'fu
威奥特拉斯,wei'ao'te'la'si
维比利廷克顿,wei'bi'li'ting'ke'dun
卫兵纳戈拉斯,wei'bing'na'ge'la'si
薇布尔,wei'bu'er
为部落而战,wei'bu'luo'er'zhan
卫道者达安,wei'dao'zhe'da'an
卫道者萨提亚,wei'dao'zhe'sa'ti'ya
维多利亚雅顿,wei'duo'li'ya'ya'dun
维尔巴,wei'er'ba
维尔顿巴罗夫,wei'er'dun'ba'luo'fu
维尔诺斯,wei'er'nuo'si
微风,wei'feng
未归类的植物,wei'gui'lei'de'zhi'wu
维京战锤,wei'jing'zhan'chui
维克多巴勒特,wei'ke'duo'ba'le'te
威科隆,wei'ke'long
维克斯顿奥奇维斯,wei'ke'si'dun'ao'qi'wei'si
为库米沙效力,wei'ku'mi'sha'xiao'li
维拉白掌,wei'la'bai'zhang
维拉卡威尔,wei'la'ka'wei'er
未来的种子,wei'lai'de'zhong'zi
维莱恩刃星,wei'lai'en'ren'xing
威勒真击,wei'le'zhen'ji
薇莎拉,wei'sha'la
维施拉,wei'shi'la
维斯雷影誓,wei'si'lei'ying'shi
维斯特前亚银歌,wei'si'te'qian'ya'yin'ge
维斯特娅艾比瑟塔斯,wei'si'te'ya'ai'bi'se'ta'si
畏缩,wei'suo
危险物品,wei'xian'wu'pin
维泽克血拳,wei'ze'ke'xue'quan
伪装术,wei'zhuang'shu
温达尔影拳,wen'da'er'ying'quan
温德索尔元帅,wen'de'suo'er'yuan'shuai
稳固射击,wen'gu'she'ji
温斯顿德斯克海文,wen'si'dun'de'si'ke'hai'wen
问天贝恩,wen'tian'bei'en
瘟疫打击,wen'yi'da'ji
瘟疫之锅,wen'yi'zhi'guo
稳重的塞匹利昂,wen'zhong'de'sai'pi'li'ang
嗡嗡蜂,weng'weng'feng
沃艾德玛文克里斯蒂努恩,wo'ai'de'ma'wen'ke'li'si'di'nu'en
沃翠妮娅,wo'cui'ni'ya
沃德雷萨黑暗湮灭之剑,wo'de'lei'sa'hei'an'yan'mie'zhi'jian
我还没死,wo'hai'mei'si
沃金,wo'jin
沃琳灵灼,wo'lin'ling'zhuo
沃姆伍德,wo'mu'wu'de
沃奇曼威西,wo'qi'man'wei'xi
沃瑞克斯佐布兹,wo'rui'ke'si'zuo'bu'zi
沃舒古水晶尘,wo'shu'gu'shui'jing'chen
乌伯的诅咒妖术刃,wu'bo'de'zu'zhou'yao'shu'ren
伍德西叶歌,wu'de'xi'ye'ge
无敌的斯卡尔,wu'di'de'si'ka'er
无法撼动之物,wu'fa'han'dong'zhi'wu
无辜者兜帽,wu'gu'zhe'dou'mao
无坚不摧之力,wu'jian'bu'cui'zhi'li
无尽的痛苦,wu'jin'de'tong'ku
无尽深渊束带,wu'jin'shen'yuan'shu'dai
无尽虚空腿铠,wu'jin'xu'kong'tui'kai
无尽严寒,wu'jin'yan'han
无尽祝福法链,wu'jin'zhu'fu'fa'lian
乌寇拉虚焰,wu'kou'la'xu'yan
舞雷者佐林,wu'lei'zhe'zuo'lin
无命,wu'ming
乌姆布雷基,wu'mu'bu'lei'ji
无皮幼龙肩甲,wu'pi'you'long'jian'jia
武器的锻造,wu'qi'de'duan'zao
武器掌握,wu'qi'zhang'wo
无情,wu'qing
无情的杰瓦,wu'qing'de'jie'wa
无情的克亚兰,wu'qing'de'ke'ya'lan
无情的米罗,wu'qing'de'mi'luo
无情延伸,wu'qing'yan'shen
污染的灵魂,wu'ran'de'ling'hun
污染的能量,wu'ran'de'neng'liang
无人知晓的秘密,wu'ren'zhi'xiao'de'mi'mi
乌瑟尔的腰带,wu'se'er'de'yao'dai
无上的荣耀,wu'shang'de'rong'yao
巫术师桑斯罗德,wu'shu'shi'sang'si'luo'de
巫术之刃,wu'shu'zhi'ren
无私的纳安,wu'si'de'na'an
乌索克之怒,wu'suo'ke'zhi'nu
无畏防御,wu'wei'fang'yu
乌纹长袍,wu'wen'chang'pao
无息指环,wu'xi'zhi'huan
无瑕防御,wu'xia'fang'yu
无限专注,wu'xian'zhuan'zhu
乌鸦的飞翔,wu'ya'de'fei'xiang
巫妖王,wu'yao'wang
午夜诅咒,wu'ye'zu'zhou
巫医库扎,wu'yi'ku'zha
乌兹丁,wu'zi'ding
袭风者劳伦,xi'feng'zhe'lao'lun
洗劫,xi'jie
希拉,xi'la
希利苏斯,xi'li'su'si
希玛斯索莫萨特,xi'ma'si'suo'mo'sa'te
熄灭,xi'mie
洗脑,xi'nao
吸取菁华,xi'qu'jing'hua
吸取生命,xi'qu'sheng'ming
牺牲仪式,xi'sheng'yi'shi
牺牲祝福,xi'sheng'zhu'fu
希斯莱安娜,xi'si'lai'an'na
细碎法杖,xi'sui'fa'zhang
希宛德拉暗欲,xi'wan'de'la'an'yu
希望的微光,xi'wang'de'wei'guang
希望的终结,xi'wang'de'zhong'jie
吸血触须,xi'xue'chu'xu
吸血鬼之触,xi'xue'gui'zhi'chu
吸血统御,xi'xue'tong'yu
稀有的豆子,xi'you'de'dou'zi
下一站米奈希尔港,xia'yi'zhan'mi'nai'xi'er'gang
先锋布罗安,xian'feng'bu'luo'an
献祭复仇,xian'ji'fu'chou
献祭陷阱,xian'ji'xian'jing
陷阱上饵,xian'jing'shang'er
鲜血打击,xian'xue'da'ji
鲜血符文,xian'xue'fu'wen
鲜血竞技场,xian'xue'jing'ji'chang
鲜血竞技场断蹄,xian'xue'jing'ji'chang'duan'ti
鲜血竞技场蓝色兄弟,xian'xue'jing'ji'chang'lan'se'xiong'di
鲜血竞技场裂石之王洛卡达尔,xian'xue'jing'ji'chang'lie'shi'zhi'wang'luo'ka'da'er
鲜血竞技场瑟克拉加斯,xian'xue'jing'ji'chang'se'ke'la'jia'si
鲜血竞技场战槌勇士,xian'xue'jing'ji'chang'zhan'chui'yong'shi
鲜血竞技场终极挑战,xian'xue'jing'ji'chang'zhong'ji'tiao'zhan
鲜血灵气,xian'xue'ling'qi
鲜血领主沃拉斯,xian'xue'ling'zhu'wo'la'si
鲜血守卫德尼莎,xian'xue'shou'wei'de'ni'sha
鲜血涌动,xian'xue'yong'dong
鲜血之环,xian'xue'zhi'huan
先知徽记,xian'zhi'hui'ji
先知维伦,xian'zhi'wei'lun
先祖复苏,xian'zu'fu'su
先祖净化,xian'zu'jing'hua
先祖之魂,xian'zu'zhi'hun
相位猎犬,xiang'wei'lie'quan
向虚空献祭,xiang'xu'kong'xian'ji
啸暗者旺达,xiao'an'zhe'wang'da
萧冬挟持,xiao'dong'xie'chi
小个子莱诺,xiao'ge'zi'lai'nuo
小个子约翰米斯瑞尔,xiao'ge'zi'yue'han'mi'si'rui'er
小鬼女王诺亚丽,xiao'gui'nv'wang'nuo'ya'li
小鬼之王平普瑞克,xiao'gui'zhi'wang'ping'pu'rui'ke
消耗战,xiao'hao'zhan
小精灵,xiao'jing'ling
小壳,xiao'ke
消散,xiao'san
消失,xiao'shi
消逝之光,xiao'shi'zhi'guang
枭兽形态,xiao'shou'xing'tai
邪部落的荣誉,xie'bu'luo'de'rong'yu
亵渎者托姆克罗,xie'du'zhe'tuo'mu'ke'luo
邪恶大地,xie'e'da'di
邪恶的莱诺,xie'e'de'lai'nuo
邪恶兜帽,xie'e'dou'mao
邪恶符文,xie'e'fu'wen
邪恶攻击,xie'e'gong'ji
邪恶诡计,xie'e'gui'ji
邪恶计划,xie'e'ji'hua
邪恶利爪法杖,xie'e'li'zhua'fa'zhang
邪恶灵气,xie'e'ling'qi
邪恶侵犯指环,xie'e'qin'fan'zhi'huan
邪恶通灵师,xie'e'tong'ling'shi
邪恶意图项圈,xie'e'yi'tu'xiang'quan
邪恶之力,xie'e'zhi'li
邪恶支配,xie'e'zhi'pei
邪能地狱火,xie'neng'di'yu'huo
邪能狂怒,xie'neng'kuang'nu
邪能喷泉,xie'neng'pen'quan
邪能闪耀,xie'neng'shan'yao
胁迫,xie'po
邪酸吐息,xie'suan'tu'xi
泄血毒药,xie'xue'du'yao
新仇旧怨,xin'chou'jiu'yuan
新翠,xin'cui
新的疫情,xin'de'yi'qing
心灵哀嚎,xin'ling'ai'hao
心灵尖叫,xin'ling'jian'jiao
心灵尖啸,xin'ling'jian'xiao
心灵批判者坎德拉,xin'ling'pi'pan'zhe'kan'de'la
心灵视界,xin'ling'shi'jie
心灵之火,xin'ling'zhi'huo
心灵之怒,xin'ling'zhi'nu
心灵专注,xin'ling'zhuan'zhu
辛洛斯诸界的毁灭者,xin'luo'si'zhu'jie'de'hui'mie'zhe
信任试炼,xin'ren'shi'lian
新生,xin'sheng
新生龙族长靴,xin'sheng'long'zu'chang'xue
新生曼托斯,xin'sheng'man'tuo'si
辛西娅惊魂,xin'xi'ya'jing'hun
辛西娅玛斯特斯,xin'xi'ya'ma'si'te'si
信仰的嘉奖,xin'yang'de'jia'jiang
心智冰封,xin'zhi'bing'feng
星火术,xing'huo'shu
星击,xing'ji
星界悲痛,xing'jie'bei'tong
星界传送,xing'jie'chuan'song
星界否定,xing'jie'fou'ding
星界行者的护手,xing'jie'xing'zhe'de'hu'shou
猩猩王库汗,xing'xing'wang'ku'han
行刑者吉尔林,xing'xing'zhe'ji'er'lin
幸运战斧,xing'yun'zhan'fu
行踪不定的麦雷奥,xing'zong'bu'ding'de'mai'lei'ao
凶残,xiong'can
